Sentence_index	Token_index	Token	Negation
0	1	Europe	False
0	2	has	False
0	3	done	False
0	4	a	False
0	5	HUGE	False
0	6	amount	False
0	7	to	False
0	8	help	False
0	9	refugees	False
0	10	,	False
0	11	taking	False
0	12	in	False
0	13	literally	False
0	14	millions	False
0	15	and	False
0	16	spending	False
0	17	billions	False
0	18	on	False
0	19	supporting	False
0	20	them.Canada	False
0	21	has	False
0	22	helped	False
0	23	for	False
0	24	sure	False
0	25	too	False
0	26	,	False
0	27	just	False
0	28	not	False
0	29	nearly	True
0	30	to	True
0	31	the	True
0	32	same	True
0	33	extent.But	True
0	34	the	False
0	35	problem	False
0	36	is	False
0	37	so	False
0	38	huge	False
0	39	,	False
0	40	you	False
0	41	cannot	False
0	42	expect	True
0	43	Western	True
0	44	countries	True
0	45	to	True
0	46	fix	True
0	47	this	True
0	48	,	True
0	49	without	False
0	50	actually	True
0	51	going	True
0	52	in	True
0	53	militarily	True
0	54	and	True
0	55	recolonizing	True
0	56	the	True
0	57	region	True
0	58	.	False
1	1	But	False
1	2	that	False
1	3	is	False
1	4	not	False
1	5	going	True
1	6	to	True
1	7	happen	True
1	8	!	False
2	1	Hilary	False
2	2	did	False
2	3	not	False
2	4	lose	True
2	5	because	True
2	6	she	True
2	7	was	True
2	8	a	True
2	9	woman	True
2	10	.	False
3	1	She	False
3	2	lost	False
3	3	because	False
3	4	the	False
3	5	US	False
3	6	had	False
3	7	their	False
3	8	version	False
3	9	of	False
3	10	an	False
3	11	Arab	False
3	12	Spring	False
3	13	.	False
4	1	A	False
4	2	restless	False
4	3	electorate	False
4	4	wanted	False
4	5	an	False
4	6	outsider	False
4	7	.	False
5	1	It	False
5	2	is	False
5	3	unfortunate	False
5	4	that	False
5	5	Trump	False
5	6	was	False
5	7	the	False
5	8	one	False
5	9	to	False
5	10	tap	False
5	11	into	False
5	12	that	False
5	13	movement	False
5	14	.	False
6	1	Bernie	False
6	2	nearly	False
6	3	defeated	False
6	4	Hilary	False
6	5	by	False
6	6	calling	False
6	7	for	False
6	8	a	False
6	9	revolution	False
6	10	.	False
7	1	Meanwhile	False
7	2	Hilary	False
7	3	was	False
7	4	the	False
7	5	typical	False
7	6	establishment	False
7	7	candidate	False
7	8	who	False
7	9	had	False
7	10	become	False
7	11	wealthy	False
7	12	through	False
7	13	pay	False
7	14	to	False
7	15	play	False
7	16	.	False
8	1	Hilary	False
8	2	and	False
8	3	her	False
8	4	spokespersons	False
8	5	certainly	False
8	6	played	False
8	7	the	False
8	8	woman	False
8	9	card	False
8	10	often	False
8	11	enough	False
8	12	but	False
8	13	Hilary's	False
8	14	enthusiastic	False
8	15	response	False
8	16	to	False
8	17	Madeline	False
8	18	Allbright's	False
8	19	declaration	False
8	20	of	False
8	21	a	False
8	22	special	False
8	23	place	False
8	24	in	False
8	25	hell	False
8	26	for	False
8	27	women	False
8	28	who	False
8	29	would	False
8	30	not	False
8	31	vote	True
8	32	for	True
8	33	women	True
8	34	was	False
8	35	a	False
8	36	mistake	False
8	37	.	False
9	1	That	False
9	2	backfired	False
9	3	with	False
9	4	younger	False
9	5	women	False
9	6	who	False
9	7	see	False
9	8	themselves	False
9	9	as	False
9	10	able	False
9	11	to	False
9	12	compete	False
9	13	on	False
9	14	merit	False
9	15	alone	False
9	16	.	False
10	1	In	False
10	2	the	False
10	3	end	False
10	4	Hilary	False
10	5	probably	False
10	6	got	False
10	7	as	False
10	8	many	False
10	9	votes	False
10	10	because	False
10	11	she	False
10	12	was	False
10	13	a	False
10	14	woman	False
10	15	as	False
10	16	she	False
10	17	lost	False
10	18	for	False
10	19	the	False
10	20	same	False
10	21	reason	False
10	22	.	False
11	1	All	False
11	2	these	False
11	3	people	False
11	4	keep	False
11	5	talking	False
11	6	about	False
11	7	how	False
11	8	they	False
11	9	cried	False
11	10	when	False
11	11	she	False
11	12	wasn't	False
11	13	elected	True
11	14	.	False
12	1	Maybe	False
12	2	they	False
12	3	should	False
12	4	spend	False
12	5	more	False
12	6	time	False
12	7	getting	False
12	8	on	False
12	9	with	False
12	10	life	False
12	11	and	False
12	12	work	False
12	13	and	False
12	14	stop	False
12	15	crying	False
12	16	.	False
13	1	No	False
13	2	,	False
13	3	,	False
13	4	,	False
13	5	you	False
13	6	really	False
13	7	don't	False
13	8	get	True
13	9	these	True
13	10	Uber	True
13	11	clown	True
13	12	off	True
13	13	the	True
13	14	streets	True
13	15	,	False
13	16	,	False
13	17	,	False
13	18	Cartels	False
13	19	?	False
14	1	whats	False
14	2	nextUber	False
14	3	Police	False
14	4	,	False
14	5	,	False
14	6	,	False
14	7	you	False
14	8	keep	False
14	9	80	False
14	10	percent	False
14	11	of	False
14	12	the	False
14	13	tickets	False
14	14	you	False
