Sentence,Tags
I am looking for a black gloss 33 inch fireclay apron sink,"O,O,O,O,O,B-COLOUR,B-TEXTURE,B-SIZE,I-SIZE,B-PRODUCT,I-PRODUCT,I-PRODUCT"
Looking for pre workout Pump addict instead of Karbolyn Hydrate Wich one is better?,"O,O,B-PRODUCT,I-PRODUCT,I-PRODUCT,I-PRODUCT,O,O,B-N-PRODUCT,I-N-PRODUCT,O,O,O,O"
i need a 48 inch glass sliding goof and a shower pan system for 500.99 or less,"O,O,O,B-SIZE,I-SIZE,B-MATERIAL,B-PRODUCT,I-PRODUCT,O,O,B-PRODUCT,I-PRODUCT,I-PRODUCT,O,B-PRICE,I-PRICE,I-PRICE"
"Hello, do any of your free standing tubs have a matte white finish instead of a glossy finish?","O,O,O,O,O,B-ATTRIBUTE,I-ATTRIBUTE,B-PRODUCT,O,O,B-TEXTURE,B-COLOUR,O,O,O,O,B-N-TEXTURE,O"
I'm looking for a 24 inch white mirror that is freestanding and reasonably priced.,"O,O,O,O,B-SIZE,I-SIZE,B-COLOUR,B-PRODUCT,O,O,B-ATTRIBUTE,O,B-PRICE,I-PRICE"
Does the linen add cotton duvet cover come in King? I saw it in the store but I don't see the king size online ?,"O,O,B-MATERIAL,O,B-MATERIAL,B-PRODUCT,I-PRODUCT,O,O,B-SIZE,O,O,O,O,O,O,O,O,O,O,O,B-SIZE,I-SIZE,O,O"
"Hi there. I'm looking to buy some throw blankets. Your website states that the underside of the Boucle wool-like throw is very soft. I would like to know if the wool-like top side is soft as well, or if it is scratchy. I have hypersensitive skin and need a blanket that will not irritate me. Thanks.","O,O,O,O,O,O,O,B-PRODUCT,I-PRODUCT,O,O,O,O,O,O,O,O,B-MATERIAL,I-MATERIAL,B-PRODUCT,O,O,B-TEXTURE,O,O,O,O,O,O,O,B-MATERIAL,O,O,O,B-TEXTURE,O,O,O,O,O,O,B-N-TEXTURE,O,O,O,O,O,O,O,B-PRODUCT,O,O,O,O,O,O"
Long Sherpa jacket dark brown why can't I find it?,"B-SIZE,B-PRODUCT,I-PRODUCT,B-COLOUR,I-COLOUR,O,O,O,O,O"
Hello. I'm looking for a soft Open face cardigan w no buttons.,"O,O,O,O,O,B-TEXTURE,B-ATTRIBUTE,I-ATTRIBUTE,B-PRODUCT,O,O,B-N-ATTRIBUTE"
hi do you carry any oval tubs in a matte white finish or not too much of gloss? i know they make solid surface but higher prices. thank you,"O,O,O,O,O,B-SHAPE,B-PRODUCT,O,O,B-TEXTURE,B-COLOUR,O,O,O,O,O,O,B-N-TEXTURE,O,O,O,O,O,O,O,B-PRICE,I-PRICE,O,O"
