Token,Actual Tag,Predicted Tag
i,O,O
am,O,O
looking,O,O
for,O,O
a,O,O
black,I-COLOUR,I-COLOUR
gloss,I-TEXTURE,I-ATTRIBUTE
33,I-SIZE,I-SIZE
inch,I-SIZE,I-SIZE
fireclay,I-PRODUCT,I-PRODUCT
apron,I-PRODUCT,I-PRODUCT
sink,I-PRODUCT,I-PRODUCT
looking,O,O
for,O,O
pre,I-PRODUCT,I-PRODUCT
workout,I-PRODUCT,I-PRODUCT
pump,I-PRODUCT,I-PRODUCT
addict,I-PRODUCT,I-PRODUCT
instead,O,O
of,O,O
karbolyn,I-N-PRODUCT,I-N-ATTRIBUTE
hydrate,I-N-PRODUCT,I-N-ATTRIBUTE
with,O,O
one,O,O
is,O,O
better,O,O
?,O,O
i,O,O
need,O,O
a,O,O
48,I-SIZE,I-SIZE
inch,I-SIZE,I-SIZE
glass,I-MATERIAL,I-MATERIAL
sliding,I-PRODUCT,O
good,I-PRODUCT,O
and,O,O
a,O,O
shower,I-PRODUCT,I-PRODUCT
pan,I-PRODUCT,I-PRODUCT
system,I-PRODUCT,I-PRODUCT
for,O,O
500.99,I-PRICE,I-PRICE
or,I-PRICE,I-PRICE
less,I-PRICE,I-PRICE
hello,O,O
",",O,O
do,O,O
any,O,O
of,O,O
your,O,O
free,I-ATTRIBUTE,O
standing,I-ATTRIBUTE,O
stubs,I-PRODUCT,O
have,O,O
a,O,O
matte,I-TEXTURE,I-COLOUR
white,I-COLOUR,I-COLOUR
finish,O,I-ATTRIBUTE
instead,O,O
of,O,O
a,O,O
glossy,I-N-TEXTURE,I-N-ATTRIBUTE
finish,O,I-N-ATTRIBUTE
?,O,O
i,O,O
'm,O,O
looking,O,O
for,O,O
a,O,O
24,I-SIZE,I-SIZE
inch,I-SIZE,I-SIZE
white,I-COLOUR,I-COLOUR
mirror,I-PRODUCT,I-PRODUCT
that,O,O
is,O,O
freestanding,I-ATTRIBUTE,I-ATTRIBUTE
and,O,O
reasonably,I-PRICE,I-PRICE
priced,I-PRICE,I-PRICE
.,O,O
does,O,O
the,O,O
linen,I-MATERIAL,O
add,O,O
cotton,I-MATERIAL,I-PRODUCT
duet,I-PRODUCT,I-PRODUCT
cover,I-PRODUCT,I-PRODUCT
come,O,O
in,O,O
king,I-SIZE,I-SIZE
?,O,O
i,O,O
saw,O,O
it,O,O
in,O,O
the,O,O
store,O,O
but,O,O
i,O,O
do,O,O
n't,O,O
see,O,O
the,O,O
king,I-SIZE,I-SIZE
size,I-SIZE,I-SIZE
online,O,O
?,O,O
hi,O,O
there,O,O
.,O,O
i,O,O
'm,O,O
looking,O,O
to,O,O
buy,O,O
some,O,O
throw,I-PRODUCT,O
blankets,I-PRODUCT,O
.,O,O
your,O,O
website,O,O
states,O,O
that,O,O
the,O,O
underside,O,O
of,O,O
the,O,O
double,I-MATERIAL,O
wool,I-MATERIAL,O
-,I-MATERIAL,O
like,I-MATERIAL,O
throw,I-PRODUCT,O
is,O,O
very,O,O
