,Tokens,X,_,Tags,is_negative
0,i,-X-,_,O,False
1,am,-X-,_,O,False
2,looking,-X-,_,O,False
3,for,-X-,_,O,False
4,a,-X-,_,O,False
5,black,-X-,_,B-COLOUR,False
6,gloss,-X-,_,B-TEXTURE,False
7,33,-X-,_,B-SIZE,False
8,inch,-X-,_,I-SIZE,False
9,fireclay,-X-,_,B-PRODUCT,False
10,apron,-X-,_,I-PRODUCT,False
11,sink,-X-,_,I-PRODUCT,False
12,,,,,
13,looking,-X-,_,O,False
14,for,-X-,_,O,False
15,pre,-X-,_,B-PRODUCT,False
16,workout,-X-,_,I-PRODUCT,False
17,pump,-X-,_,I-PRODUCT,False
18,addict,-X-,_,I-PRODUCT,False
19,instead,-X-,_,O,False
20,of,-X-,_,O,False
21,karbolyn,-X-,_,B-PRODUCT,True
22,hydrate,-X-,_,I-PRODUCT,True
23,with,-X-,_,O,False
24,one,-X-,_,O,False
25,is,-X-,_,O,False
26,better,-X-,_,O,False
27,?,-X-,_,O,False
28,,,,,
29,i,-X-,_,O,False
30,need,-X-,_,O,False
31,a,-X-,_,O,False
32,48,-X-,_,B-SIZE,False
33,inch,-X-,_,I-SIZE,False
34,glass,-X-,_,B-MATERIAL,False
35,sliding,-X-,_,B-PRODUCT,False
36,good,-X-,_,I-PRODUCT,False
37,and,-X-,_,O,False
38,a,-X-,_,O,False
39,shower,-X-,_,B-PRODUCT,False
40,pan,-X-,_,I-PRODUCT,False
41,system,-X-,_,I-PRODUCT,False
42,for,-X-,_,O,False
43,500.99,-X-,_,B-PRICE,False
44,or,-X-,_,I-PRICE,False
45,less,-X-,_,I-PRICE,False
46,,,,,
47,hello,-X-,_,O,False
48,",",-X-,_,O,False
49,do,-X-,_,O,False
50,any,-X-,_,O,False
51,of,-X-,_,O,False
52,your,-X-,_,O,False
53,free,-X-,_,B-ATTRIBUTE,False
54,standing,-X-,_,I-ATTRIBUTE,False
55,stubs,-X-,_,B-PRODUCT,False
56,have,-X-,_,O,False
57,a,-X-,_,O,False
58,matte,-X-,_,B-TEXTURE,False
59,white,-X-,_,B-COLOUR,False
60,finish,-X-,_,O,False
61,instead,-X-,_,O,False
62,of,-X-,_,O,False
63,a,-X-,_,O,False
64,glossy,-X-,_,B-TEXTURE,True
65,finish,-X-,_,O,False
66,?,-X-,_,O,False
67,,,,,
68,i,-X-,_,O,False
69,'m,-X-,_,O,False
70,looking,-X-,_,O,False
71,for,-X-,_,O,False
72,a,-X-,_,O,False
73,24,-X-,_,B-SIZE,False
74,inch,-X-,_,I-SIZE,False
75,white,-X-,_,B-COLOUR,False
76,mirror,-X-,_,B-PRODUCT,False
77,that,-X-,_,O,False
78,is,-X-,_,O,False
79,freestanding,-X-,_,B-ATTRIBUTE,False
80,and,-X-,_,O,False
81,reasonably,-X-,_,B-PRICE,False
82,priced,-X-,_,I-PRICE,False
83,.,-X-,_,O,False
84,,,,,
85,does,-X-,_,O,False
86,the,-X-,_,O,False
87,linen,-X-,_,B-MATERIAL,False
88,add,-X-,_,O,False
89,cotton,-X-,_,B-MATERIAL,False
90,duet,-X-,_,B-PRODUCT,False
91,cover,-X-,_,I-PRODUCT,False
92,come,-X-,_,O,False
93,in,-X-,_,O,False
94,king,-X-,_,B-SIZE,False
95,?,-X-,_,O,False
96,i,-X-,_,O,False
97,saw,-X-,_,O,False
98,it,-X-,_,O,False
99,in,-X-,_,O,False
100,the,-X-,_,O,False
101,store,-X-,_,O,False
102,but,-X-,_,O,False
103,i,-X-,_,O,False
104,do,-X-,_,O,False
105,n't,-X-,_,O,False
106,see,-X-,_,O,False
107,the,-X-,_,O,False
108,king,-X-,_,B-SIZE,False
109,size,-X-,_,I-SIZE,False
110,online,-X-,_,O,False
111,?,-X-,_,O,False
112,,,,,
113,hi,-X-,_,O,False
114,there,-X-,_,O,False
115,.,-X-,_,O,False
116,i,-X-,_,O,False
117,'m,-X-,_,O,False
118,looking,-X-,_,O,False
119,to,-X-,_,O,False
120,buy,-X-,_,O,False
121,some,-X-,_,O,False
122,throw,-X-,_,B-PRODUCT,False
123,blankets,-X-,_,I-PRODUCT,False
124,.,-X-,_,O,False
125,your,-X-,_,O,False
126,website,-X-,_,O,False
127,states,-X-,_,O,False
128,that,-X-,_,O,False
129,the,-X-,_,O,False
130,underside,-X-,_,O,False
131,of,-X-,_,O,False
132,the,-X-,_,O,False
133,double,-X-,_,B-MATERIAL,False
134,wool,-X-,_,I-MATERIAL,False
135,-,-X-,_,I-MATERIAL,False
136,like,-X-,_,I-MATERIAL,False
137,throw,-X-,_,B-PRODUCT,False
138,is,-X-,_,O,False
139,very,-X-,_,O,False
140,soft,-X-,_,B-TEXTURE,False
141,.,-X-,_,O,False
142,i,-X-,_,O,False
143,would,-X-,_,O,False
144,like,-X-,_,O,False
145,to,-X-,_,O,False
146,know,-X-,_,O,False
147,if,-X-,_,O,False
148,the,-X-,_,O,False
149,wool,-X-,_,B-MATERIAL,False
150,-,-X-,_,B-MATERIAL,False
151,like,-X-,_,B-MATERIAL,False
152,top,-X-,_,O,False
153,side,-X-,_,O,False
154,is,-X-,_,O,False
155,soft,-X-,_,B-TEXTURE,False
156,as,-X-,_,O,False
157,well,-X-,_,O,False
158,",",-X-,_,O,False
159,or,-X-,_,O,False
160,if,-X-,_,O,False
161,it,-X-,_,O,False
162,is,-X-,_,O,False
163,scratch,-X-,_,B-TEXTURE,True
164,.,-X-,_,O,False
165,i,-X-,_,O,False
166,have,-X-,_,O,False
167,hypersensitive,-X-,_,O,False
168,skin,-X-,_,O,False
169,and,-X-,_,O,False
170,need,-X-,_,O,False
171,a,-X-,_,O,False
172,blanket,-X-,_,B-PRODUCT,False
173,that,-X-,_,O,False
174,will,-X-,_,O,False
175,not,-X-,_,O,False
176,irritated,-X-,_,O,False
177,me,-X-,_,O,False
178,.,-X-,_,O,False
179,thanks,-X-,_,O,False
180,.,-X-,_,O,False
181,,,,,
182,long,-X-,_,B-SIZE,False
183,sharp,-X-,_,B-PRODUCT,False
184,jacket,-X-,_,I-PRODUCT,False
185,dark,-X-,_,B-COLOUR,False
186,brown,-X-,_,I-COLOUR,False
187,why,-X-,_,O,False
188,ca,-X-,_,O,False
189,n't,-X-,_,O,False
190,i,-X-,_,O,False
191,find,-X-,_,O,False
192,it,-X-,_,O,False
193,?,-X-,_,O,False
194,,,,,
195,hello,-X-,_,O,False
196,.,-X-,_,O,False
197,i,-X-,_,O,False
198,'m,-X-,_,O,False
199,looking,-X-,_,O,False
200,for,-X-,_,O,False
201,a,-X-,_,O,False
202,soft,-X-,_,B-TEXTURE,False
203,open,-X-,_,B-ATTRIBUTE,False
204,face,-X-,_,I-ATTRIBUTE,False
205,cardinal,-X-,_,B-PRODUCT,False
206,w,-X-,_,O,False
207,no,-X-,_,O,False
208,buttons,-X-,_,B-ATTRIBUTE,True
209,.,-X-,_,O,False
210,,,,,
211,hi,-X-,_,O,False
212,do,-X-,_,O,False
213,you,-X-,_,O,False
214,carry,-X-,_,O,False
215,any,-X-,_,O,False
216,oval,-X-,_,B-SHAPE,False
217,stubs,-X-,_,B-PRODUCT,False
218,in,-X-,_,O,False
219,a,-X-,_,O,False
220,matte,-X-,_,B-TEXTURE,False
221,white,-X-,_,B-COLOUR,False
222,finish,-X-,_,O,False
223,or,-X-,_,O,False
224,not,-X-,_,O,False
225,too,-X-,_,O,False
226,much,-X-,_,O,False
227,of,-X-,_,O,False
228,gloss,-X-,_,B-TEXTURE,True
229,?,-X-,_,O,False
230,i,-X-,_,O,False
231,know,-X-,_,O,False
232,they,-X-,_,O,False
233,make,-X-,_,O,False
234,solid,-X-,_,O,False
235,surface,-X-,_,O,False
236,but,-X-,_,O,False
