Tokens,Tags,is_negative,sentence
I,O,False,0
am,O,False,0
looking,O,False,0
for,O,False,0
a,O,False,0
black,B-COLOUR,False,0
gloss,B-TEXTURE,False,0
33,B-SIZE,False,0
inch,I-SIZE,False,0
fireclay,B-PRODUCT,False,0
apron,I-PRODUCT,False,0
sink,I-PRODUCT,False,0
Looking,O,False,1
for,O,False,1
pre,B-PRODUCT,False,1
workout,I-PRODUCT,False,1
Pump,I-PRODUCT,False,1
addict,I-PRODUCT,False,1
instead,O,False,1
of,O,False,1
Karbolyn,B-PRODUCT,True,1
Hydrate,I-PRODUCT,True,1
Wich,O,False,1
one,O,False,1
is,O,False,1
better?,O,False,1
i,O,False,2
need,O,False,2
a,O,False,2
48,B-SIZE,False,2
inch,I-SIZE,False,2
glass,B-MATERIAL,False,2
sliding,B-PRODUCT,False,2
goof,I-PRODUCT,False,2
and,O,False,2
a,O,False,2
shower,B-PRODUCT,False,2
pan,I-PRODUCT,False,2
system,I-PRODUCT,False,2
for,O,False,2
500.99,B-PRICE,False,2
or,I-PRICE,False,2
less,I-PRICE,False,2
"Hello,",O,False,3
do,O,False,3
any,O,False,3
of,O,False,3
your,O,False,3
free,B-ATTRIBUTE,False,3
standing,I-ATTRIBUTE,False,3
tubs,B-PRODUCT,False,3
have,O,False,3
a,O,False,3
matte,B-TEXTURE,False,3
white,B-COLOUR,False,3
finish,O,False,3
instead,O,False,3
of,O,False,3
a,O,False,3
glossy,B-TEXTURE,True,3
finish?,O,False,3
I'm,O,False,4
looking,O,False,4
for,O,False,4
a,O,False,4
24,B-SIZE,False,4
inch,I-SIZE,False,4
white,B-COLOUR,False,4
mirror,B-PRODUCT,False,4
that,O,False,4
is,O,False,4
freestanding,B-ATTRIBUTE,False,4
and,O,False,4
reasonably,B-PRICE,False,4
priced.,I-PRICE,False,4
Does,O,False,5
the,O,False,5
linen,B-MATERIAL,False,5
add,O,False,5
cotton,B-MATERIAL,False,5
duvet,B-PRODUCT,False,5
cover,I-PRODUCT,False,5
come,O,False,5
in,O,False,5
King?,B-SIZE,False,5
I,O,False,5
saw,O,False,5
it,O,False,5
in,O,False,5
the,O,False,5
store,O,False,5
but,O,False,5
I,O,False,5
don't,O,False,5
see,O,False,5
the,O,False,5
king,B-SIZE,False,5
size,I-SIZE,False,5
online,O,False,5
?,O,False,5
Hi,O,False,6
there.,O,False,6
I'm,O,False,6
looking,O,False,6
to,O,False,6
buy,O,False,6
some,O,False,6
throw,B-PRODUCT,False,6
blankets.,I-PRODUCT,False,6
Your,O,False,6
website,O,False,6
states,O,False,6
that,O,False,6
the,O,False,6
underside,O,False,6
of,O,False,6
the,O,False,6
Boucle,B-MATERIAL,False,6
wool-like,I-MATERIAL,False,6
